,dt_reference,id_city_origin,id_city_destination,freight_cost,distance
290,25/02/2022,5105259.0,4118204.0,395.0,2127.16
291,11/03/2022,5105259.0,4118204.0,415.0,2127.16
292,18/03/2022,5105259.0,4118204.0,425.0,2127.16
293,25/03/2022,5105259.0,4118204.0,485.0,2127.16
294,01/04/2022,5105259.0,4118204.0,465.0,2127.16
295,15/04/2022,5105259.0,4118204.0,490.0,2127.16
296,22/04/2022,5105259.0,4118204.0,475.0,2127.16
297,20/05/2022,5105259.0,4118204.0,575.0,2127.16
298,27/05/2022,5105259.0,4118204.0,495.0,2127.16
299,10/06/2022,5105259.0,4118204.0,535.0,2127.16
300,17/06/2022,5105259.0,4118204.0,540.0,2127.16
301,01/07/2022,5105259.0,4118204.0,550.0,2127.16
302,22/07/2022,5105259.0,4118204.0,525.0,2127.16
303,29/07/2022,5105259.0,4118204.0,520.0,2127.16
304,05/08/2022,5105259.0,4118204.0,505.0,2127.16
305,19/08/2022,5105259.0,4118204.0,455.0,2127.16
306,26/08/2022,5105259.0,4118204.0,450.0,2127.16
307,02/09/2022,5105259.0,4118204.0,445.0,2127.16
308,14/10/2022,5105259.0,4118204.0,405.0,2127.16
309,21/10/2022,5105259.0,4118204.0,375.0,2127.16
310,09/12/2022,5105259.0,4118204.0,420.0,2127.16
311,27/01/2023,5105259.0,4118204.0,417.5,2127.16
312,03/02/2023,5105259.0,4118204.0,470.0,2127.16
313,10/02/2023,5105259.0,4118204.0,512.0,2127.16
314,17/02/2023,5105259.0,4118204.0,555.0,2127.16
315,10/03/2023,5105259.0,4118204.0,460.0,2127.16
316,06/04/2023,5105259.0,4118204.0,447.0,2127.16
317,28/04/2023,5105259.0,4118204.0,432.0,2127.16
318,12/05/2023,5105259.0,4118204.0,442.5,2127.16
319,07/07/2023,5105259.0,4118204.0,545.0,2127.16
320,21/07/2023,5105259.0,4118204.0,530.0,2127.16
321,28/07/2023,5105259.0,4118204.0,500.0,2127.16
322,01/09/2023,5105259.0,4118204.0,515.0,2127.16
323,08/09/2023,5105259.0,4118204.0,471.0,2127.16
324,22/09/2023,5105259.0,4118204.0,509.0,2127.16
325,06/10/2023,5105259.0,4118204.0,532.5,2127.16
326,27/10/2023,5105259.0,4118204.0,530.5,2127.16
327,01/12/2023,5105259.0,4118204.0,492.5,2127.16
328,08/03/2024,5105259.0,4118204.0,410.0,2127.16
329,22/03/2024,5105259.0,4118204.0,355.0,2127.16
330,17/05/2024,5105259.0,4118204.0,443.0,2127.16
331,31/05/2024,5105259.0,4118204.0,441.5,2127.16
332,07/01/2022,5107065.0,4118204.0,340.0,2018.58
333,21/01/2022,5107065.0,4118204.0,300.0,2018.58
334,28/01/2022,5107065.0,4118204.0,350.0,2018.58
335,04/02/2022,5107065.0,4118204.0,367.0,2018.58
336,11/02/2022,5107065.0,4118204.0,395.0,2018.58
337,18/02/2022,5107065.0,4118204.0,402.5,2018.58
338,04/03/2022,5107065.0,4118204.0,400.0,2018.58
339,11/03/2022,5107065.0,4118204.0,405.0,2018.58
340,18/03/2022,5107065.0,4118204.0,435.0,2018.58
341,25/03/2022,5107065.0,4118204.0,432.0,2018.58
342,01/04/2022,5107065.0,4118204.0,433.0,2018.58
343,08/04/2022,5107065.0,4118204.0,427.33,2018.58
344,15/04/2022,5107065.0,4118204.0,460.0,2018.58
345,22/04/2022,5107065.0,4118204.0,450.0,2018.58
346,29/04/2022,5107065.0,4118204.0,465.0,2018.58
347,13/05/2022,5107065.0,4118204.0,480.0,2018.58
